Designator,Mid X,Mid Y,Rotation,Layer
BOOT_SW1,159.098125,-171.159375,0.0,bottom
C1,82.598125,-129.459375,90.0,bottom
C10,108.498125,-155.196875,0.0,bottom
C11,106.698125,-158.659375,270.0,bottom
C12,87.498125,-144.059375,270.0,bottom
C13,83.598125,-144.759375,270.0,bottom
C14,76.098125,-135.859375,0.0,bottom
C15,85.798125,-129.459375,90.0,bottom
C16,114.998125,-129.259375,90.0,bottom
C17,79.423125,-100.759375,180.0,bottom
C18,90.398125,-138.259375,180.0,bottom
C19,73.698125,-138.359375,0.0,bottom
C2,84.198125,-129.459375,90.0,bottom
C20,90.598125,-135.059375,180.0,bottom
C21,97.898125,-137.659375,180.0,bottom
C22,91.798125,-145.259375,90.0,bottom
C23,117.298125,-123.359375,0.0,bottom
C24,117.273125,-121.759375,0.0,bottom
C25,116.898125,-117.159375,180.0,bottom
C26,156.998125,-123.359375,0.0,bottom
C27,156.998125,-121.759375,0.0,bottom
C28,156.498125,-117.259375,180.0,bottom
C29,120.098125,-102.859375,90.0,bottom
C3,78.598125,-142.759375,270.0,bottom
C30,158.198125,-102.759375,90.0,bottom
C31,174.698125,-169.459375,180.0,bottom
C32,218.648125,-169.559375,180.0,bottom
C33,250.273125,-169.559375,180.0,bottom
C34,287.548125,-169.609375,180.0,bottom
C35,322.498125,-169.559375,180.0,bottom
C36,325.048125,-117.809375,0.0,bottom
C37,293.798125,-116.709375,180.0,bottom
C38,256.161834,-116.723749,180.0,bottom
C39,223.548125,-116.759375,180.0,bottom
C4,140.498125,-184.959375,180.0,bottom
C40,180.698125,-116.659375,180.0,bottom
C41,139.648125,-117.809375,270.0,bottom
C42,106.398125,-117.109375,180.0,bottom
C43,67.548125,-117.059375,180.0,bottom
C44,65.398125,-169.509375,180.0,bottom
C45,99.898125,-169.509375,180.0,bottom
C47,135.398125,-188.159375,90.0,bottom
C5,125.898125,-177.759375,0.0,bottom
C6,140.498125,-183.359375,180.0,bottom
C7,136.998125,-174.459375,0.0,bottom
C8,131.698125,-188.159375,270.0,bottom
C9,133.298125,-188.159375,270.0,bottom
D1,64.298125,-108.759375,90.0,bottom
D10,235.823125,-107.553375,90.0,bottom
D11,254.873125,-107.553375,90.0,bottom
D12,273.923125,-107.553375,90.0,bottom
D13,292.973125,-107.553375,90.0,bottom
D14,311.798125,-110.259375,90.0,bottom
D15,331.073125,-107.553375,90.0,bottom
D16,65.798125,-130.459375,90.0,bottom
D17,99.998125,-123.609375,90.0,bottom
D18,111.998125,-126.603375,90.0,bottom
D19,135.298125,-126.109375,90.0,bottom
D2,83.398125,-108.259375,90.0,bottom
D20,150.098125,-126.603375,90.0,bottom
D21,173.698125,-126.559375,90.0,bottom
D22,188.198125,-126.603375,90.0,bottom
D23,207.248125,-126.603375,90.0,bottom
D24,226.298125,-126.603375,90.0,bottom
D25,245.348125,-126.603375,90.0,bottom
D26,264.398125,-126.603375,90.0,bottom
D27,283.448125,-126.603375,90.0,bottom
D28,302.498125,-126.603375,90.0,bottom
D29,326.310625,-126.603375,90.0,bottom
D3,102.498125,-108.259375,90.0,bottom
D30,65.948125,-148.959375,90.0,bottom
D31,97.710625,-145.653375,90.0,bottom
D32,116.760625,-145.653375,90.0,bottom
D33,135.810625,-145.653375,90.0,bottom
D34,154.860625,-145.653375,90.0,bottom
D35,173.910625,-145.653375,90.0,bottom
D36,192.960625,-145.653375,90.0,bottom
D37,212.010625,-145.653375,90.0,bottom
D38,231.060625,-145.653375,90.0,bottom
D39,250.110625,-145.653375,90.0,bottom
D4,113.298125,-108.159375,90.0,bottom
D40,269.160625,-145.653375,90.0,bottom
D41,288.210625,-145.653375,90.0,bottom
D42,320.754375,-150.01875,90.0,bottom
D43,73.898125,-164.703375,90.0,bottom
D44,102.473125,-164.703375,90.0,bottom
D45,121.523125,-164.703375,90.0,bottom
D46,140.573125,-164.703375,90.0,bottom
D47,159.623125,-164.703375,90.0,bottom
D48,178.673125,-164.703375,90.0,bottom
D49,197.723125,-164.703375,90.0,bottom
D5,145.298125,-109.759375,90.0,bottom
D50,216.773125,-164.703375,90.0,bottom
D51,235.823125,-164.703375,90.0,bottom
D52,254.873125,-164.703375,90.0,bottom
D53,273.923125,-164.703375,90.0,bottom
D54,292.973125,-164.703375,90.0,bottom
D55,312.023125,-164.703375,90.0,bottom
D56,331.073125,-164.703375,90.0,bottom
D57,70.723125,-184.546875,90.0,bottom
D58,94.535625,-184.546875,90.0,bottom
D59,116.760625,-184.546875,90.0,bottom
D6,151.098125,-109.759375,90.0,bottom
D60,157.241875,-184.546875,90.0,bottom
D61,204.866875,-184.546875,90.0,bottom
D62,240.18875,-185.7375,90.0,bottom
D63,271.541875,-183.753125,90.0,bottom
D64,292.973125,-183.753375,90.0,bottom
D65,312.023125,-183.753375,90.0,bottom
D66,331.073125,-183.753375,90.0,bottom
D7,184.098125,-107.459375,90.0,bottom
D8,197.723125,-107.553375,90.0,bottom
D9,216.773125,-107.553375,90.0,bottom
F1,74.198125,-110.359375,270.0,bottom
J1,70.348125,-99.999375,180.0,bottom
J2,127.868489,-110.878712,180.0,bottom
J3,165.973125,-110.878713,180.0,bottom
L1,79.398125,-102.359375,180.0,bottom
L2,117.610624,-103.659375,0.0,bottom
L3,155.798125,-103.559375,0.0,bottom
LED1,175.683752,-172.434375,0.0,bottom
LED10,176.073257,-115.809375,180.0,bottom
LED11,135.982846,-116.11149,180.0,bottom
LED12,101.959248,-116.169333,180.0,bottom
LED13,62.898125,-116.109375,180.0,bottom
LED14,66.348125,-172.459375,0.0,bottom
LED15,100.877179,-172.459375,0.0,bottom
LED16,123.048125,-171.259375,0.0,bottom
LED2,219.598125,-172.459375,0.0,bottom
LED3,251.260344,-172.431875,0.0,bottom
LED4,288.526421,-172.459375,0.0,bottom
LED5,323.477179,-172.434375,0.0,bottom
LED6,323.892806,-114.970001,180.0,bottom
LED7,288.998125,-115.809375,180.0,bottom
LED8,251.698125,-115.809375,180.0,bottom
LED9,219.028751,-115.859375,180.0,bottom
R1,69.598125,-107.059375,270.0,bottom
R10,89.298125,-129.859375,270.0,bottom
R11,87.698125,-129.859375,270.0,bottom
R12,76.098125,-130.359375,0.0,bottom
R13,74.898125,-139.959375,0.0,bottom
R14,151.398125,-173.059375,0.0,bottom
R2,71.798125,-107.059375,270.0,bottom
R3,76.098125,-131.959375,180.0,bottom
R4,76.098125,-133.559375,180.0,bottom
R6,94.798125,-137.059375,0.0,bottom
R7,94.798125,-132.259375,0.0,bottom
R8,94.798125,-135.459375,0.0,bottom
R9,94.798125,-133.859375,0.0,bottom
RESET_SW1,149.298125,-188.659375,0.0,bottom
U1,109.298125,-158.096875,270.0,bottom
U2,133.498125,-180.559375,0.0,bottom
U3,118.798125,-129.159375,0.0,bottom
U4,83.648125,-137.021875,270.0,bottom
U5,70.798125,-109.759375,0.0,bottom
U6,127.898125,-116.759375,180.0,bottom
U7,165.998125,-116.659375,180.0,bottom
U8,137.798125,-169.959375,0.0,bottom
Y1,93.998125,-140.459375,270.0,bottom
